Dataset,MajorityClass,Forest,Bareland,Water,Grassland,Wetland,Cropland,Built-up,Shrubland,Lichens_and_Mosses,Non_Water,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_19LCH_M_R,Grassland,16,3,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCH_M_R,Water,208,119,0,67,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCH_M_R,Shrubland,1,1,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCH_M_R,Cropland,5,4,8,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCH_M_R,Wetland,7,4,21,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCH_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCH_M_R,Bareland,29,0,40,31,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCH_M_R,Built-up,3,1,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCH_M_R,Forest,0,105,138,135,9,14,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCH_M_R,Grassland,3,13,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCH_M_R,Water,79,7,0,4,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCH_M_R,Cropland,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCH_M_R,Forest,0,16,96,22,58,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCH_M_R,Bareland,5,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCH_M_R,Grassland,15,0,0,0,2,11,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCH_M_R,Water,127,58,0,63,85,24,34,109,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCH_M_R,Bareland,26,0,6,25,21,4,11,34,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCH_M_R,Built-up,3,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCH_M_R,Forest,0,66,40,93,81,38,36,129,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCH_M_R,Cropland,5,0,0,1,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCH_M_R,Shrubland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCH_M_R,Grassland,0,0,6,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCH_M_R,Wetland,0,0,18,0,0,0,0,0,0,13,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCH_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCH_M_R,Bareland,0,0,81,0,0,0,0,0,0,29,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCH_M_R,Built-up,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCH_M_R,Forest,0,0,215,0,0,0,0,0,0,109,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCH_M_R,Water,0,0,0,0,0,0,0,0,0,148,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCH_M_R,Cropland,0,0,1,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCH_M_R,Cropland,0,4,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCH_M_R,Water,27,38,0,54,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCH_M_R,Forest,0,75,171,199,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCH_M_R,Grassland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCH_M_R,Bareland,0,0,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCH_M_R,Wetland,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,Wetland,9,8,13,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,Water,77,35,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,Forest,0,25,210,0,1,0,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,Grassland,9,2,6,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,Bareland,38,0,50,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,Cropland,7,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCH_M_R,Bareland,0,0,6,0,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCH_M_R,Water,0,0,0,0,85,0,0,0,0,0,20
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCH_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCH_M_R,Forest,0,0,40,0,81,0,0,0,0,0,67
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCH_M_R,Water,234,86,0,5,0,43,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCH_M_R,Wetland,21,9,2,4,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCH_M_R,Forest,0,31,26,7,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCH_M_R,Bareland,22,0,0,1,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCH_M_R,Grassland,13,2,1,0,0,3,0,0,0,0,0
