Dataset,MajorityClass,Forest,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Cropland,Non_Water,Lichens_and_Mosses,Built-up,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LKR_M_R,Grassland,66,22,8,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKR_M_R,Non_Wetland,4,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKR_M_R,Wetland,34,0,2,14,42,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKR_M_R,Bareland,5,1,0,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKR_M_R,Shrubland,5,2,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKR_M_R,Cropland,9,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKR_M_R,Water,187,4,14,0,104,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKR_M_R,Forest,0,5,3,55,147,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKR_M_R,Built-up,4,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LKR_M_R,Permanent_ice_and_snow,1,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKR_M_R,Grassland,35,46,9,9,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKR_M_R,Non_Wetland,1,2,2,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKR_M_R,Bareland,1,1,0,3,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKR_M_R,Forest,0,263,27,121,201,58,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKR_M_R,Shrubland,3,2,2,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKR_M_R,Wetland,7,0,0,6,33,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKR_M_R,Cropland,0,1,2,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKR_M_R,Built-up,0,0,3,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKR_M_R,Water,56,154,3,0,56,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKR_M_R,Permanent_ice_and_snow,2,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKR_M_R,Grassland,0,9,0,2,0,0,103,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKR_M_R,Wetland,0,0,0,0,0,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKR_M_R,Forest,0,110,0,45,0,0,336,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKR_M_R,Shrubland,0,0,0,0,0,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKR_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKR_M_R,Bareland,0,3,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKR_M_R,Water,0,84,0,0,0,0,110,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKR_M_R,Non_Wetland,0,7,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKR_M_R,Wetland,2,0,0,25,47,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKR_M_R,Forest,0,143,52,124,309,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKR_M_R,Grassland,1,32,46,16,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKR_M_R,Shrubland,0,6,0,1,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKR_M_R,Cropland,0,0,5,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKR_M_R,Bareland,0,2,0,1,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKR_M_R,Built-up,0,0,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKR_M_R,Water,13,14,15,0,138,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKR_M_R,Permanent_ice_and_snow,0,0,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKR_M_R,Grassland,0,0,0,13,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKR_M_R,Wetland,0,0,0,10,0,0,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKR_M_R,Bareland,0,0,0,2,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKR_M_R,Water,0,0,0,0,0,0,0,0,73,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKR_M_R,Forest,0,0,0,101,0,0,0,0,59,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKR_M_R,Grassland,54,9,28,2,0,47,0,46,0,3,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKR_M_R,Forest,0,110,105,45,108,81,0,50,0,2,25,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKR_M_R,Wetland,5,0,5,0,5,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKR_M_R,Bareland,3,3,0,0,0,0,0,5,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKR_M_R,Built-up,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKR_M_R,Water,97,84,51,0,69,29,0,17,0,1,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKR_M_R,Cropland,2,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKR_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKR_M_R,Grassland,34,1,1,26,0,0,0,32,0,0,21,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKR_M_R,Forest,0,4,1,172,0,0,0,17,0,0,17,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKR_M_R,Wetland,26,0,0,29,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKR_M_R,Water,21,2,6,0,0,0,0,1,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKR_M_R,Bareland,0,0,0,3,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKR_M_R,Forest,0,1,7,4,4,0,0,7,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKR_M_R,Grassland,101,10,28,19,0,0,0,16,0,0,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKR_M_R,Water,221,9,12,0,0,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKR_M_R,Wetland,82,0,4,7,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKR_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKR_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
