Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Cropland,Built-up,Water,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Shrubland,151,100,15,15,19,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Grassland,0,235,8,51,112,45,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Bareland,191,109,1,0,26,21,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Forest,576,0,56,65,99,70,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Non_Wetland,1,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Cropland,380,342,11,67,0,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Wetland,88,64,0,2,0,1,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Built-up,207,120,3,59,67,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Water,94,130,64,55,8,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Lichens_and_Mosses,1,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRM_M_R,Permanent_ice_and_snow,5,4,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Shrubland,0,0,0,0,0,0,0,49,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Grassland,0,0,7,0,0,0,0,103,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Wetland,0,0,0,0,0,0,2,43,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Forest,0,0,198,0,0,0,59,364,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Built-up,0,0,0,0,0,0,2,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Water,0,0,92,0,0,0,0,52,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Cropland,0,0,10,0,0,0,10,22,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Bareland,0,0,2,0,0,0,9,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Shrubland,44,30,15,28,0,8,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Non_Wetland,0,2,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Grassland,0,129,23,122,0,96,11,0,189,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Cropland,341,196,6,172,0,112,1,0,228,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Wetland,29,39,0,2,0,1,43,0,53,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Bareland,114,67,0,0,0,32,48,0,61,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Built-up,75,35,2,84,0,0,3,0,84,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Water,48,82,32,18,0,4,0,0,46,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Forest,446,0,133,238,0,84,95,0,520,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Lichens_and_Mosses,1,0,0,1,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRM_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRM_M_R,Grassland,0,17,58,297,76,41,9,0,163,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRM_M_R,Non_Wetland,0,0,3,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRM_M_R,Forest,498,0,252,588,133,12,114,0,530,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRM_M_R,Bareland,33,0,0,0,20,5,0,0,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRM_M_R,Shrubland,46,6,17,62,4,5,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRM_M_R,Wetland,41,5,0,25,0,0,31,0,34,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRM_M_R,Built-up,121,6,6,196,20,0,4,0,77,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRM_M_R,Cropland,277,22,5,389,0,49,1,0,124,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRM_M_R,Water,19,39,93,86,2,0,0,0,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRM_M_R,Lichens_and_Mosses,0,0,0,6,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRM_M_R,Permanent_ice_and_snow,0,0,1,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRM_M_R,Grassland,0,148,7,8,204,103,0,0,260,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRM_M_R,Bareland,119,64,2,0,137,119,9,0,118,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRM_M_R,Forest,309,0,198,48,370,176,59,0,465,26,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRM_M_R,Cropland,212,146,10,5,0,118,10,0,244,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRM_M_R,Wetland,4,11,0,0,0,2,2,0,18,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRM_M_R,Built-up,105,40,0,5,105,0,2,0,104,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRM_M_R,Water,29,37,92,12,17,12,0,0,67,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRM_M_R,Shrubland,18,16,0,0,15,9,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRM_M_R,Permanent_ice_and_snow,1,0,0,0,2,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRM_M_R,Grassland,0,0,0,0,0,0,2,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRM_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRM_M_R,Bareland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRM_M_R,Wetland,0,0,0,0,0,0,29,0,0,0,21,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRM_M_R,Water,0,0,0,0,0,0,0,0,0,0,62,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRM_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRM_M_R,Forest,0,0,0,0,0,0,46,0,0,0,44,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRM_M_R,Grassland,0,144,10,8,497,178,23,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRM_M_R,Forest,0,0,31,5,404,312,158,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRM_M_R,Shrubland,0,48,2,0,86,62,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRM_M_R,Bareland,0,41,0,0,164,85,24,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRM_M_R,Built-up,0,3,0,2,53,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRM_M_R,Wetland,0,43,0,0,14,11,40,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRM_M_R,Water,0,33,3,1,14,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRM_M_R,Cropland,0,63,0,2,0,65,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRM_M_R,Permanent_ice_and_snow,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRM_M_R,Forest,90,0,3,73,143,0,18,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRM_M_R,Shrubland,32,104,3,37,51,0,2,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRM_M_R,Cropland,87,115,0,119,0,0,4,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRM_M_R,Bareland,3,55,1,0,32,0,8,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRM_M_R,Built-up,22,87,0,43,59,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRM_M_R,Wetland,2,152,0,1,0,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRM_M_R,Water,1,170,5,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRM_M_R,Grassland,0,235,4,113,149,0,19,0,0,0,0,10
