Dataset,MajorityClass,Forest,Water,Built-up,Bareland,Cropland,Grassland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Grassland,90,1,3,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Shrubland,30,1,0,2,0,57,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Non_Wetland,6,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Wetland,144,74,2,35,0,127,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Bareland,520,216,20,0,3,561,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Water,385,0,1,97,0,186,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Cropland,20,3,2,0,0,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Built-up,9,1,0,0,0,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Forest,0,110,5,30,4,307,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Shrubland,13,0,0,19,0,15,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Non_Wetland,1,0,0,2,0,1,6,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Grassland,42,0,0,175,0,0,24,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Bareland,33,6,0,0,0,49,24,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Forest,0,88,0,658,0,252,260,123,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Water,81,0,0,711,0,57,132,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Cropland,1,0,0,42,0,17,6,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Wetland,21,12,0,233,0,20,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Built-up,3,0,0,30,0,0,6,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWM_M_R,Grassland,12,1,0,162,0,0,8,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWM_M_R,Non_Wetland,0,0,0,2,0,1,8,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWM_M_R,Forest,0,140,0,618,0,307,83,186,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWM_M_R,Water,38,0,0,590,0,60,1,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWM_M_R,Shrubland,0,0,0,14,0,18,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWM_M_R,Cropland,1,0,0,40,0,16,1,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWM_M_R,Wetland,5,27,0,266,0,54,0,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWM_M_R,Bareland,17,42,0,0,0,60,5,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWM_M_R,Built-up,0,0,0,31,0,5,3,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWM_M_R,Grassland,0,2,0,0,0,0,16,0,93,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWM_M_R,Wetland,0,3,0,0,0,0,0,0,77,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWM_M_R,Forest,0,53,0,0,0,0,221,0,410,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWM_M_R,Bareland,0,63,0,0,0,0,154,0,410,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWM_M_R,Water,0,0,0,0,0,0,205,0,149,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWM_M_R,Shrubland,0,0,0,0,0,0,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWM_M_R,Cropland,0,0,0,0,0,0,2,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWM_M_R,Built-up,0,0,0,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWM_M_R,Bareland,0,429,0,0,0,0,0,0,0,157,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWM_M_R,Shrubland,0,5,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWM_M_R,Forest,0,186,0,0,0,0,0,0,0,104,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWM_M_R,Grassland,0,11,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWM_M_R,Wetland,0,68,0,0,0,0,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWM_M_R,Water,0,0,0,0,0,0,0,0,0,177,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWM_M_R,Cropland,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWM_M_R,Built-up,0,3,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWM_M_R,Grassland,62,2,26,24,85,0,16,82,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWM_M_R,Forest,0,53,56,176,119,99,221,235,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWM_M_R,Wetland,10,3,5,2,7,1,0,19,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWM_M_R,Bareland,166,63,186,0,251,111,154,273,0,0,48,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWM_M_R,Water,103,0,41,124,56,26,205,104,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWM_M_R,Shrubland,3,0,2,5,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWM_M_R,Cropland,2,0,1,0,0,0,2,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWM_M_R,Built-up,0,0,0,0,3,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWM_M_R,Shrubland,9,0,1,0,7,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWM_M_R,Grassland,40,39,15,0,102,0,50,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWM_M_R,Bareland,186,343,231,0,136,0,288,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWM_M_R,Water,66,0,40,38,19,0,91,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWM_M_R,Wetland,20,75,26,1,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWM_M_R,Forest,0,305,54,5,35,0,122,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWM_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWM_M_R,Cropland,0,2,1,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWM_M_R,Forest,0,56,0,50,21,23,6,0,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWM_M_R,Bareland,270,227,0,0,78,27,132,0,0,0,0,84
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWM_M_R,Wetland,106,43,0,11,16,10,0,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWM_M_R,Water,274,0,0,44,11,2,50,0,0,0,0,20
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWM_M_R,Grassland,104,22,0,35,32,0,13,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWM_M_R,Shrubland,24,2,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWM_M_R,Built-up,5,2,0,0,3,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWM_M_R,Cropland,3,1,0,2,0,0,1,0,0,0,0,0
