Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
11,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
13,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
16,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
18,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
19,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
20,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
21,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
22,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
23,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
24,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
25,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
26,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
27,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
28,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
29,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
31,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
32,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
33,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
34,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
35,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
36,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
37,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
38,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
39,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
40,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
41,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
43,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
44,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
45,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
46,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
47,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
48,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
49,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
50,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Forest
51,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
52,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
53,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
54,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
55,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
56,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
57,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
58,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
59,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
60,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
61,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
62,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
63,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
64,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
65,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
66,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
67,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
68,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
69,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
70,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
71,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
73,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
74,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
75,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
76,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
77,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
78,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
79,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
80,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
81,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
82,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
83,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
84,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
86,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
87,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
88,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
89,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
90,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
91,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
92,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
93,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Water
94,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
95,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
96,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
97,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
98,NULL,Water,Water,Water,Water,Water,Water,Water
99,NULL,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
100,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
101,NULL,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
102,NULL,Forest,Water,NULL,Water,Water,Wetland,Forest
103,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
104,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
105,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
106,Cropland,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
107,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
108,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
109,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
110,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
111,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
112,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
113,Bareland,Built-up,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
114,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
115,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
116,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
117,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
118,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
119,Bareland,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
120,Bareland,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Bareland
121,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
122,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
123,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
124,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
125,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
126,Bareland,Water,Water,NULL,Water,Water,Wetland,Forest
127,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
128,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
129,Water,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
130,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
131,Water,Wetland,Water,Non_Water,Water,Water,Water,Water
132,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
133,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
134,Water,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Water
135,Water,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
136,Water,Built-up,Wetland,NULL,Wetland,Water,Bareland,Forest
137,Water,Built-up,Forest,Water,Non_Wetland,Grassland,Water,Forest
138,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
139,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
140,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
141,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
142,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
143,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
144,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
145,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
146,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
147,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
148,Water,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Water
149,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
150,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
151,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
152,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
153,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
154,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
155,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
156,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
157,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
158,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
159,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
160,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
161,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
162,Water,Water,Grassland,Water,Non_Wetland,Water,Forest,Water
163,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
164,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
165,Water,Water,Wetland,NULL,Wetland,NULL,Bareland,Forest
166,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
167,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
168,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
169,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Water
170,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
171,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
172,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
173,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
174,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Water
175,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
176,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
177,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
178,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
179,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
180,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
181,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
182,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
183,Water,Water,Wetland,NULL,Wetland,Forest,Water,Water
184,Water,Water,Wetland,NULL,Wetland,Forest,Water,Forest
185,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
186,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
187,Water,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
188,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
189,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
190,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
191,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
192,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
193,Water,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
194,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
195,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
196,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
197,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
198,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
199,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
200,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
201,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
202,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
203,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
204,Water,Water,Wetland,Water,Wetland,Grassland,Water,Forest
205,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
206,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
207,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
208,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
209,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
210,Water,Water,Wetland,Water,Wetland,Water,Water,Water
211,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
212,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
213,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
214,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
215,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
216,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
217,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
218,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
219,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
220,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland,Water,Water
221,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
222,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
223,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
224,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
225,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
226,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
227,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
228,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
229,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
230,Water,Water,Water,NULL,Water,NULL,Water,Water
231,Water,Water,Water,NULL,Water,Grassland,Wetland,Water
232,Water,Water,Water,NULL,Water,Grassland,Wetland,Forest
233,Water,Water,Water,NULL,Water,Grassland,Water,Water
234,Water,Water,Water,NULL,Water,Grassland,Water,Forest
235,Water,Water,Water,NULL,Water,Wetland,Wetland,Water
236,Water,Water,Water,NULL,Water,Bareland,Wetland,Water
237,Water,Water,Water,NULL,Water,Water,Wetland,Wetland
238,Water,Water,Water,NULL,Water,Water,Wetland,Water
239,Water,Water,Water,NULL,Water,Water,Wetland,Forest
240,Water,Water,Water,NULL,Water,Water,Bareland,Water
241,Water,Water,Water,NULL,Water,Water,Water,Water
242,Water,Water,Water,NULL,Water,Water,Water,Forest
243,Water,Water,Water,NULL,Water,Water,Forest,Water
244,Water,Water,Water,NULL,Water,Water,Forest,Forest
245,Water,Water,Water,Non_Water,Water,Grassland,Water,Water
246,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Water
247,Water,Water,Water,Non_Water,Water,Bareland,Water,Water
248,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
249,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
250,Water,Water,Water,Non_Water,Water,Water,Water,Water
251,Water,Water,Water,Non_Water,Water,Water,Water,Forest
252,Water,Water,Water,Non_Water,Water,Water,Forest,Water
253,Water,Water,Water,Non_Water,Water,Water,Forest,Forest
254,Water,Water,Water,Water,Water,NULL,Wetland,Forest
255,Water,Water,Water,Water,Water,NULL,Water,Water
256,Water,Water,Water,Water,Water,Grassland,Wetland,Grassland
257,Water,Water,Water,Water,Water,Grassland,Water,Water
258,Water,Water,Water,Water,Water,Grassland,Water,Forest
259,Water,Water,Water,Water,Water,Wetland,Water,Water
260,Water,Water,Water,Water,Water,Bareland,Water,Water
261,Water,Water,Water,Water,Water,Water,Wetland,Water
262,Water,Water,Water,Water,Water,Water,Wetland,Forest
263,Water,Water,Water,Water,Water,Water,Bareland,Forest
264,Water,Water,Water,Water,Water,Water,Water,Grassland
265,Water,Water,Water,Water,Water,Water,Water,Wetland
266,Water,Water,Water,Water,Water,Water,Water,Water
267,Water,Water,Water,Water,Water,Water,Water,Forest
268,Water,Water,Water,Water,Water,Water,Forest,Water
269,Water,Water,Water,Water,Water,Water,Forest,Forest
270,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
271,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
272,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
273,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
274,Water,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
275,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
276,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
277,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
278,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
279,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
280,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
281,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
282,Water,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Water
283,Water,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
284,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
285,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
286,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
287,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
288,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
289,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
290,Water,Water,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
291,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
292,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
293,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
294,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
295,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
