Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,NULL
31,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
32,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
33,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
34,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
35,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
36,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
37,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
38,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
39,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
40,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
41,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
42,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
43,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
44,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
45,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
46,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
47,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
48,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
49,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
50,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
51,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
52,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
53,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
54,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
55,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
56,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
57,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
58,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
59,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
60,NULL,NULL,Water,NULL,Water,NULL,Wetland,NULL
61,NULL,NULL,Water,NULL,Water,Grassland,Water,NULL
62,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
63,NULL,NULL,Water,NULL,Water,Wetland,Water,NULL
64,NULL,NULL,Water,NULL,Water,Water,Wetland,NULL
65,NULL,NULL,Water,NULL,Water,Water,Water,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
67,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
68,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
69,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
70,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
71,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
72,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
73,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
74,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
75,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
76,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,NULL
77,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
78,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
79,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
80,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
81,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
82,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
83,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
84,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
85,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
86,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
87,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
88,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
89,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
90,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
91,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,NULL
92,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water,NULL
93,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
94,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
95,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
96,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
97,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
98,NULL,Wetland,Wetland,NULL,Wetland,Forest,Wetland,NULL
99,NULL,Wetland,Wetland,NULL,Wetland,Forest,Water,NULL
100,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
101,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
102,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
103,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
104,NULL,Wetland,Water,NULL,Water,Wetland,Water,NULL
105,NULL,Wetland,Water,NULL,Water,Water,Wetland,NULL
106,NULL,Wetland,Water,NULL,Water,Water,Water,NULL
107,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
108,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
109,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
110,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
111,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
112,NULL,Wetland,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
113,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
114,NULL,Bareland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
115,NULL,Bareland,Wetland,NULL,Wetland,Wetland,Water,NULL
116,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
117,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
118,NULL,Bareland,Water,NULL,Water,Grassland,Water,NULL
119,NULL,Bareland,Water,NULL,Water,Wetland,Water,NULL
120,NULL,Bareland,Water,NULL,Water,Water,Water,NULL
121,NULL,Bareland,Forest,NULL,Non_Wetland,Water,Wetland,NULL
122,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
123,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
124,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
125,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
126,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
127,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
128,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
129,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
130,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
135,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
136,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
137,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
139,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
142,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
143,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,NULL
144,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,NULL
145,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,NULL
146,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
147,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Bareland,NULL
148,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
149,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
150,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
151,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
152,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
153,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
154,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
155,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
156,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
157,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,NULL
158,NULL,Built-up,Water,NULL,Water,Wetland,Water,NULL
159,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
160,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
161,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
162,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
163,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
164,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
165,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
166,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
167,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
168,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Water,NULL
169,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
170,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,NULL
171,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,NULL
172,NULL,Water,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
173,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
174,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
175,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
176,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
177,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
178,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
179,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
180,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
181,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
182,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
183,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,NULL
184,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
185,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
186,NULL,Water,Grassland,NULL,Non_Wetland,Water,Water,NULL
187,NULL,Water,Wetland,NULL,Wetland,NULL,Water,NULL
188,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,NULL
189,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
190,NULL,Water,Wetland,NULL,Wetland,Wetland,Bareland,NULL
191,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
192,NULL,Water,Wetland,NULL,Wetland,Wetland,Forest,NULL
193,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
194,NULL,Water,Wetland,NULL,Wetland,Water,Water,NULL
195,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
196,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
197,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,NULL
198,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
199,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
200,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
201,NULL,Water,Water,NULL,Water,Grassland,Water,NULL
202,NULL,Water,Water,NULL,Water,Wetland,Grassland,NULL
203,NULL,Water,Water,NULL,Water,Wetland,Wetland,NULL
204,NULL,Water,Water,NULL,Water,Wetland,Water,NULL
205,NULL,Water,Water,NULL,Water,Water,Wetland,NULL
206,NULL,Water,Water,NULL,Water,Water,Water,NULL
207,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
208,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,NULL
209,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,NULL
210,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
211,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
212,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
213,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
214,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
215,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
216,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
217,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
218,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
219,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
220,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Wetland,NULL
221,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,NULL
222,NULL,Forest,Wetland,NULL,Wetland,NULL,Water,NULL
223,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,NULL
224,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
225,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,NULL
226,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,NULL
227,NULL,Forest,Wetland,NULL,Wetland,Forest,Wetland,NULL
228,NULL,Forest,Wetland,NULL,Wetland,Forest,Water,NULL
229,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
230,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
231,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
232,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
233,NULL,Forest,Water,NULL,Water,Wetland,Wetland,NULL
234,NULL,Forest,Water,NULL,Water,Water,Water,NULL
235,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
236,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
237,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
238,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
239,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
240,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
241,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
242,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
243,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
244,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
245,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
246,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
247,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
250,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
252,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
253,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
254,Grassland,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
255,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
256,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
257,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
258,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
259,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
260,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
261,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
262,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
263,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,NULL
264,Grassland,NULL,Water,NULL,Water,Wetland,Water,NULL
265,Grassland,NULL,Water,NULL,Water,Water,Wetland,NULL
266,Grassland,NULL,Water,NULL,Water,Water,Water,NULL
267,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
268,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
269,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
270,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
271,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
272,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Water,NULL
273,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
274,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
275,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
276,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
277,Grassland,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
278,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
279,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
280,Grassland,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
281,Grassland,Wetland,Water,NULL,Water,Wetland,Water,NULL
282,Grassland,Wetland,Water,NULL,Water,Water,Wetland,NULL
283,Grassland,Wetland,Water,NULL,Water,Water,Water,NULL
284,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
285,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
286,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
287,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
288,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
289,Grassland,Forest,Wetland,NULL,Wetland,NULL,Wetland,NULL
290,Grassland,Forest,Wetland,NULL,Wetland,NULL,Water,NULL
291,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,NULL
292,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
293,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Water,NULL
294,Grassland,Forest,Wetland,NULL,Wetland,Forest,Wetland,NULL
295,Grassland,Forest,Wetland,NULL,Wetland,Forest,Water,NULL
296,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
297,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
298,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
299,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
300,Wetland,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
301,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
302,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
303,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
304,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
305,Wetland,NULL,Grassland,NULL,Non_Wetland,Water,Water,NULL
306,Wetland,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
