Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
11,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
34,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
37,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
39,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
40,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
41,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
48,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
49,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
50,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
51,NULL,NULL,Water,Water,Water,NULL,NULL,Water
52,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
63,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
64,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
66,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
67,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
68,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
69,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
71,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
74,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
75,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
76,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
77,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
78,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
80,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
81,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
83,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
84,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
86,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
87,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
88,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
90,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
92,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
93,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
94,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
95,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
98,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
99,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
101,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
102,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
103,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
104,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
106,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
107,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
108,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
110,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
111,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
112,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
113,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
114,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Built-up
115,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
116,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
118,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
120,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
121,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
122,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
123,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
124,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
125,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
126,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
127,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
128,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
129,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
130,NULL,Built-up,Water,Water,Water,NULL,NULL,Built-up
131,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
132,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
133,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
136,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
137,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
138,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
139,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
140,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Wetland
142,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
143,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
144,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
145,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
146,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
148,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
149,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
150,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
151,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
152,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
153,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
154,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
155,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
156,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
157,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
158,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
159,NULL,Water,Water,NULL,Water,NULL,NULL,Water
160,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
161,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
162,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
163,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
164,NULL,Water,Water,Water,Water,NULL,NULL,Water
165,NULL,Water,Water,Water,Water,NULL,NULL,Forest
166,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
168,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
169,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
172,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
173,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
174,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
175,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
177,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Bareland
179,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
180,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
182,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
183,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
186,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
187,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
190,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
192,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
193,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
197,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
200,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
201,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
204,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
205,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
206,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
207,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
208,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
209,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
210,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
211,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
213,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
214,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
215,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
216,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
217,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
218,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
219,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
220,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
221,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
222,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
223,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
224,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
225,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
226,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
227,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
228,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
229,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
230,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
231,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
232,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
233,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
234,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
235,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
236,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
237,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
238,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
239,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
240,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
241,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
242,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
243,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
244,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
245,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
246,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
247,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
248,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
249,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
250,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
251,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
252,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
254,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
255,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
256,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
257,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
258,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
259,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
260,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
261,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
262,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
263,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
264,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
265,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
266,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
267,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
268,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
269,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
270,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
271,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
272,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
273,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
274,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
275,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
276,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
277,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
278,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
279,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
281,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
282,Cropland,Water,Water,Water,Water,NULL,NULL,Water
283,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
284,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
285,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
286,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
287,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
288,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
289,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
290,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
291,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
292,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
294,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
295,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
296,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
297,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
298,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
299,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
300,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
301,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
302,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
